火警类型,纬度,经度,聚类簇
杂物,31.200489,121.704485,0
单位,31.15155,121.492487,2
杂物,30.95399,121.904191,3
车辆（电瓶车）,31.174249,121.52293,2
杂物,31.169115,121.713087,1
居民,30.911409,121.804755,3
杂物,31.188989,121.694411,0
居民,31.183099,121.518755,2
居民,31.124673,121.757175,1
居民,31.190481,121.693785,0
居民,31.165057,121.535201,2
车辆（电瓶车）,31.1291,121.51421,2
居民,31.081564,121.569854,2
居民,31.061062,121.809471,1
杂物,31.207135,121.693661,0
杂物,31.068331,121.701561,1
杂物,31.173075,121.651366,0
杂物,31.207135,121.693661,0
居民,31.246718,121.549138,0
杂物,31.034854,121.767853,1
居民,31.272374,121.579517,0
居民,31.013867,121.754522,1
杂物,30.877574,121.805498,3
居民,31.24602,121.584299,0
地下空间,31.345485,121.583404,0
居民,31.066787,121.745299,1
车辆（电瓶车）,31.137207,121.568315,2
居民,31.071124,121.75485,1
居民,31.277122,121.663508,0
居民,31.257197,121.586695,0
居民,31.271897,121.603084,0
居民,31.283498,121.616122,0
居民,31.344092,121.580611,0
杂物,31.052099,121.675226,1
单位,31.074219,121.765314,1
居民,31.274154,121.648814,0
居民,31.207135,121.693661,0
居民,31.094094,121.602426,2
居民,31.207787,121.547073,2
居民,31.207333,121.649931,0
居民,31.149365,121.529573,2
居民,31.173546,121.691405,0
居民,31.274026,121.5997,0
居民,31.191044,121.528936,2
居民,31.207116,121.545249,2
居民,31.267703,121.596998,0
居民,31.207135,121.693661,0
居民,31.183696,121.716866,0
杂物,31.231783,121.725711,0
居民,31.274026,121.5997,0
居民,31.204339,121.519126,2
杂物,31.173858,121.4921,2
居民,31.253261,121.572287,0
居民,31.218283,121.524164,2
车辆（电瓶车）,31.151852,121.478449,2
单位,31.212129,121.563318,2
杂物,31.142791,121.524573,2
杂物,31.276302,121.687749,0
单位,31.178131,121.57501,2
居民,31.344814,121.563631,0
车辆,30.914397,121.942912,3
车辆,30.914731,121.924537,3
杂物,31.253857,121.737518,0
杂物,31.375217,121.513744,0
居民,31.028363,121.646306,1
电线,31.026294,121.577625,2
电线,31.252064,121.59537,0
居民,31.347444,121.585653,0
电线,31.207135,121.693661,0
杂物,31.118007,121.767279,1
居民,30.868945,121.850307,3
居民,31.175983,121.680511,0
杂物,31.210982,121.66686,0
居民,31.175983,121.680511,0
居民,31.285674,121.608059,0
居民,31.287,121.670716,0
杂物,31.095453,121.629544,2
杂物,31.291547,121.596333,0
杂物,31.069598,121.720991,1
车辆（电瓶车）,31.249704,121.580138,0
杂物,30.888382,121.819758,3
居民,31.250156,121.582949,0
单位,31.159682,121.499085,2
杂物,31.050016,121.586636,2
居民,30.872946,121.850245,3
杂物,31.034797,121.710229,1
居民,30.869252,121.853823,3
杂物,31.121714,121.499519,2
